,cum_rewards
495,-307.74701471593505
496,-307.02260541340877
497,-307.5820586554861
498,-307.81486394244706
499,-306.8143825995081
500,-307.1820900257622
501,-307.8460630406676
502,-307.22350434310135
503,-307.49388440482784
504,-307.1835165125102
505,-308.39500457195527
506,-307.14536036561316
507,-307.52512491531303
508,-307.09512946762464
509,-306.88693152657777
510,-307.7707373274645
511,-307.50842395530134
512,-306.6178586084044
513,-307.92592385418004
514,-308.2662399093951
515,-307.12724411055154
516,-306.68616743884064
517,-307.32212230091295
518,-308.1968645514002
519,-306.67767415129657
520,-306.65402157041683
521,-307.26151477702183
522,-307.2401458077997
523,-307.03210318696665
524,-307.3803632162498
525,-307.24657040185565
526,-307.30039885457165
527,-306.85309968663415
528,-308.0630741557466
529,-306.78046619077435
530,-307.52508583253297
531,-307.42639902465675
532,-307.7042177589477
533,-308.3258758124296
534,-307.75870749926594
535,-307.8721768376053
536,-307.6345754120432
537,-307.27919655794454
538,-307.8003286704416
539,-307.24464066658186
540,-308.24158535319145
541,-306.94779638464706
542,-306.893742916532
543,-308.13930356565567
544,-308.49041221707114
545,-306.36132883976035
546,-306.83153349389056
547,-307.2016097020992
548,-307.253954599742
549,-307.83956535180624
550,-308.018820504165
551,-307.74173549847274
552,-306.18597193398364
553,-306.978117318467
554,-307.560870211288
555,-307.5977205556563
556,-307.605515163872
557,-306.67685757848653
558,-306.8112205727628
559,-307.71090276504606
560,-307.85195089260196
561,-307.6712760573972
562,-308.0934937410173
563,-307.19363396786196
564,-307.66178472215955
565,-307.50010378822117
566,-307.0347708992925
567,-306.4358188863598
568,-308.0763118275577
569,-307.08957946059957
570,-307.005528286196
571,-307.70119666185553
572,-307.0196421810707
573,-307.76265026817765
574,-306.83025315879803
575,-306.8052833193501
576,-307.7473027350705
577,-306.10726861347405
578,-307.2005428171434
579,-307.18250563808687
580,-307.6734696560075
581,-306.1589307115347
582,-307.58965318013503
583,-307.94067682071625
584,-307.100414390083
585,-308.00175588672005
586,-307.50191870174945
587,-306.90797305868875
588,-306.8151793799358
589,-306.6388501723513
590,-307.73600703416764
591,-307.9967394004451
592,-308.1690017348017
593,-307.72637212418897
594,-306.64025519300725
595,-307.5696274881476
596,-307.9662277419123
597,-307.4690714228452
598,-307.9587689034905
599,-307.5724044752788
600,-307.0837958614009
601,-306.1253660891526
602,-306.6585544009674
603,-308.2153485353934
604,-307.29799149320695
605,-307.87989531531474
606,-306.8429672187207
607,-307.0275215430899
608,-308.56317172416766
609,-307.3080973184063
610,-307.60430920196865
611,-307.0571405190167
612,-306.8895544926853
613,-307.4370591316496
614,-307.2704924651136
615,-307.6320727312552
616,-306.9528892646322
617,-306.103028704942
618,-308.0453988094507
619,-307.1487208154609
620,-306.7379852776333
621,-308.2319305595805
622,-307.0884248202098
623,-307.0459464103903
624,-307.3901962177396
625,-307.36240233412514
626,-307.89781831470566
627,-306.88063678366507
628,-308.16334890642685
629,-307.6201775040475
630,-307.7400807154985
631,-308.0758629172016
632,-308.12842874458437
633,-307.3151646391927
634,-307.1472833433695
635,-307.53625153473337
636,-306.29728353108203
637,-307.0029460522343
638,-306.92783513044947
639,-306.8797138578757
640,-307.02246162807796
641,-306.32465841138634
642,-306.8254677940257
643,-307.1765609923086
644,-307.0856946533213
645,-306.8711624717792
646,-307.090549455451
647,-306.7450192488204
648,-308.0233892312271
649,-307.7849390303929
650,-308.0335169197339
651,-306.9364149943667
652,-306.9625454791335
653,-306.90348968981004
654,-307.2686084778894
655,-307.81854063449816
656,-307.5979949525697
657,-308.08143883943586
658,-307.0345284225976
659,-306.8546581598754
660,-307.19039076896047
661,-306.58414331915714
662,-307.35381052280025
663,-306.4295238112653
664,-307.0793917667121
665,-306.61733531609235
666,-308.15419277169326
667,-307.03056653219335
668,-307.93320983337514
669,-307.4238316814121
670,-307.13089849736775
671,-307.7065644401973
672,-306.6439423100777
673,-306.84695979702695
674,-307.44411512012454
675,-307.20914938958344
676,-307.10293929894107
677,-307.74732991168594
678,-307.67372773807443
679,-307.9887324872994
680,-307.50058853341216
681,-307.6534680271329
682,-307.05231785948746
683,-307.8202143946561
684,-307.42274574600475
685,-306.98173086456103
686,-308.1982176697172
687,-307.5762723021939
688,-306.5452673802259
689,-306.9565610589086
690,-306.8204589797596
691,-307.1540924119173
692,-307.0570022987824
693,-307.48874162601373
694,-307.9181492406361
695,-306.7337109283769
696,-307.51986144636857
697,-307.7902859316353
698,-307.3093445308971
699,-308.609183806208
700,-306.98587453611106
701,-307.63374274775015
702,-307.85246963231486
703,-307.01862825369375
704,-307.90327854482774
705,-306.95494521984915
706,-307.1953546921515
707,-307.9189065503985
708,-306.9423091138928
709,-306.40681499799297
710,-307.4615804151016
711,-307.0148063778856
712,-306.81831417995835
713,-307.9085575961908
714,-306.9608299038033
715,-306.8383577617336
716,-307.4781658504422
717,-308.07381732728084
718,-308.583453711612
719,-306.56436850408016
720,-307.1048421254152
721,-306.8760222794778
722,-307.084845698067
723,-307.3573900574501
724,-307.21055265652194
725,-306.9249098569144
726,-307.0402978232855
727,-306.4186773497356
728,-307.77439614933485
729,-307.7846827731267
730,-307.5370986648997
731,-307.81650806959493
732,-307.4585098707174
733,-307.49687687687447
734,-307.507751843697
735,-306.7438163442097
736,-307.7990239398224
737,-307.59293481129686
738,-307.6515191557339
739,-308.2584582637301
740,-306.929937311297
741,-306.6587707635058
742,-307.7097094571246
743,-306.80742929344694
744,-307.01701754736507
745,-307.5563144512693
746,-307.30578767111245
747,-307.0024274135586
748,-307.97240585036934
749,-308.3108626123899
750,-306.5353161453194
751,-307.73683092551687
752,-307.9487875067627
753,-307.5644880561802
754,-307.4539081451508
755,-307.6003830473463
756,-307.0220167747478
757,-307.60726133798755
758,-307.7443655616238
759,-307.6841493582433
760,-308.6462986048169
761,-307.7037638076145
762,-307.7112622772227
763,-307.5689771620274
764,-307.96278444951855
765,-307.55407139693915
766,-307.635219359326
767,-307.0766468790624
768,-306.60466815131906
769,-307.5518126745445
770,-307.1414619745462
771,-306.715570148944
772,-308.36729790335244
773,-307.7675359108217
774,-307.4863352826678
775,-307.46503688565434
776,-308.0914480002204
777,-307.80115586256454
778,-306.78168574843573
779,-307.1406026709679
780,-307.85901091299473
781,-307.458232175382
782,-308.2159275186746
783,-307.03489109588156
784,-308.09860975090317
785,-307.4215703156366
786,-307.2838052995687
787,-307.98471075175456
788,-306.36531592222553
789,-307.5573588254329
790,-308.3347683473632
791,-307.8218392437992
792,-307.00818518959807
793,-307.4584933364896
794,-307.32953873861914
795,-307.73335242881586
796,-307.82581738609184
797,-308.33843207910263
798,-308.14124491445756
799,-307.5736723455122
800,-307.995176963999
801,-307.9831633526847
802,-307.86930069124605
803,-307.002718020962
804,-307.18812860085
805,-307.2798627102945
806,-307.85036899631837
807,-307.5401732540108
808,-307.678311710291
809,-307.4355342613811
810,-307.84835518631616
811,-307.07801757276746
812,-308.2260307085503
813,-307.305925321342
814,-308.0242885706532
815,-307.81757193550123
816,-307.0814214556207
817,-306.70212404550057
818,-307.1592087196517
819,-307.575900595966
820,-308.01352295811256
821,-307.34848860073265
822,-306.9576877389618
823,-307.05855126234246
824,-307.4728107218989
825,-307.86829004536554
826,-306.47015640915083
827,-306.7159352744684
828,-307.2935554189159
829,-306.9608080697373
830,-307.74853900553825
831,-307.78113786915605
832,-307.1329533202092
833,-307.39907634921457
834,-307.5332336775627
835,-307.023465478855
836,-308.00814278753944
837,-307.5408681976326
838,-308.3465990827246
839,-308.03775507938013
840,-307.47106955186104
841,-306.94039015522674
842,-307.1283829924709
843,-307.0764534371181
844,-307.6236139697629
845,-306.9938154847864
846,-307.72215611777426
847,-307.2312671740611
848,-308.1694327506815
849,-306.95258009906917
850,-307.873089480483
851,-306.85491371428895
852,-307.7528465305519
853,-306.690215629664
854,-306.38035473120175
855,-307.86737227786404
856,-307.41174450284507
857,-307.68668583996237
858,-307.73855993366493
859,-307.31063322374337
860,-307.5262589317513
861,-307.83522185599224
862,-306.89414104365596
863,-307.24951900933075
864,-308.08944822809036
865,-307.08976558947137
866,-306.8217521980479
867,-306.37509004434236
868,-308.3920123410152
869,-306.8171453596909
870,-307.1763425487704
871,-306.9225433376621
872,-306.82054019757175
873,-306.718323676375
874,-307.6356870902474
875,-307.70018685368757
876,-307.2435373856541
877,-307.12657194637546
878,-308.1731109892255
879,-306.9148216137191
880,-307.452851403934
881,-307.3921506342219
882,-306.9304708603772
883,-308.97267611615047
884,-307.9440364488953
885,-306.7939004361711
886,-307.4145224783883
887,-307.16828547289344
888,-307.1904882508039
889,-308.0049836130783
890,-307.19370554266555
891,-307.6346174345338
892,-308.1830361317791
893,-308.4520403059327
894,-307.9070286733344
895,-307.44151211070624
896,-307.5662994248261
897,-307.20715875939663
898,-307.0021216358059
899,-307.64676984519684
900,-307.71203974192866
901,-306.69842288619543
902,-307.0889074521273
903,-307.7096740781669
904,-307.3309407411789
905,-306.8720309619204
906,-308.17036884583376
907,-308.2029279890471
908,-306.9947113031805
909,-307.41226262092107
910,-308.2315254747852
911,-307.37663637622444
912,-306.7108670676289
913,-307.41582336347756
914,-308.26285556284233
915,-308.27604556662357
916,-307.3495411008016
917,-307.0902658142242
918,-307.1957971982886
919,-307.52869932933083
920,-307.69837801373365
921,-307.8228516883231
922,-307.48490681657546
923,-307.76524767616905
924,-308.1524671939136
925,-306.85227379705253
926,-307.9120145233476
927,-307.24333304572946
928,-306.0570589314225
929,-307.39128633714046
930,-307.54632845980086
931,-308.0750886995677
932,-307.9346069424984
933,-306.40064242132667
934,-307.2523945364907
935,-307.28649374291706
936,-308.0033735150974
937,-307.83807292453463
938,-307.36809647111335
939,-307.98365464351457
940,-307.23027468088765
941,-307.65739539120216
942,-307.8544649884562
943,-306.3377916051609
944,-306.98222339419596
945,-306.55318090487475
946,-306.86351122509126
947,-306.5561019617842
948,-307.602256269885
949,-307.4321673688334
950,-307.7754732526529
951,-306.7319147805181
952,-307.13467446305884
953,-307.78332828483366
954,-307.8324730418816
955,-306.8039167826539
956,-308.53348597092366
957,-307.494282954814
958,-306.4538731775681
959,-307.1034805615403
960,-307.7446980200045
